#{"t_start": 1772134061.5807064, "env_id": "ALE/Pacman-v5"}
r,l,t
31.0,670,19221.265655
24.0,594,19246.796192
41.0,804,19280.874323
30.0,590,19305.999092
36.0,682,19335.267196
23.0,532,19358.421508
25.0,458,19378.194915
22.0,458,19397.772203
27.0,530,19420.749385
35.0,664,19448.749561
30.0,534,19471.608299
36.0,588,19496.796167
23.0,510,19518.898431
39.0,704,19548.640144
45.0,692,19578.624709
27.0,622,19605.231732
30.0,544,19629.202292
20.0,446,19648.702133
23.0,584,19673.679484
29.0,616,19700.314552
30.0,492,19721.539007
28.0,516,19743.967635
28.0,510,19766.018077
26.0,504,19788.245107
35.0,556,19811.702782
24.0,532,19834.676773
36.0,558,19858.264838
36.0,576,19882.925107
31.0,696,19913.23285
20.0,456,19932.811475
28.0,452,19952.294326
26.0,518,19974.578353
36.0,592,19999.968397
34.0,616,20026.620135
26.0,508,20048.765493
32.0,502,20070.47827
32.0,534,20093.624255
67.0,667,20122.780718
30.0,576,20147.374041
32.0,518,20169.802481
30.0,500,20191.750031
24.0,442,20210.873998
35.0,540,20233.90929
47.0,778,20267.903494
52.0,741,20299.796371
31.0,616,20326.264834
34.0,488,20347.374344
35.0,482,20368.517081
24.0,528,20391.187106
23.0,554,20415.218345
12.0,426,20433.836079
24.0,530,20456.625378
26.0,536,20479.593395
16.0,476,20500.67639
31.0,504,20522.468752
21.0,446,20541.546235
24.0,490,20563.225344
37.0,644,20590.921115
28.0,476,20612.031183
36.0,626,20638.842939
35.0,552,20662.825167
23.0,542,20686.327723
26.0,508,20708.221625
33.0,564,20732.576887
32.0,664,20760.656765
24.0,506,20782.734215
30.0,490,20803.859529
36.0,584,20828.999552
37.0,718,20860.209577
28.0,518,20882.592987
29.0,614,20909.312695
35.0,534,20932.250564
27.0,584,20957.139583
33.0,542,20980.000133
18.0,460,21000.327703
36.0,600,21025.51583
24.0,560,21049.561313
43.0,654,21077.9122
29.0,568,21102.394693
32.0,628,21128.952546
30.0,534,21152.296154
22.0,468,21172.624408
24.0,590,21198.233474
33.0,674,21227.343079
33.0,538,21250.277995
28.0,642,21278.171388
34.0,558,21302.015436
25.0,560,21326.206697
30.0,620,21352.968728
21.0,410,21370.531255
32.0,668,21399.171042
27.0,444,21418.312307
31.0,530,21440.921212
28.0,592,21466.499453
39.0,592,21492.530655
29.0,730,21524.014559
49.0,654,21552.155596
52.0,968,21594.265027
30.0,580,21619.280692
35.0,526,21641.609118
30.0,654,21669.7181
27.0,508,21691.302467
32.0,676,21719.780595
37.0,672,21749.31752
38.0,532,21772.296112
35.0,612,21798.30898
31.0,688,21827.858191
34.0,684,21857.14096
43.0,680,21886.360877
30.0,488,21907.452689
32.0,536,21930.140612
36.0,610,21956.555132
33.0,634,21983.514877
36.0,548,22007.675146
33.0,586,22033.030024
26.0,574,22058.341797
33.0,574,22083.112413
42.0,564,22107.186151
40.0,638,22134.983961
47.0,711,22165.468504
45.0,692,22195.218332
30.0,460,22215.406309
30.0,564,22239.702653
29.0,454,22259.624686
26.0,522,22282.071853
35.0,556,22305.63131
34.0,670,22334.8119
22.0,444,22354.077719
36.0,554,22377.718825
31.0,556,22401.963201
37.0,682,22431.172153
32.0,586,22456.812802
35.0,708,22486.968289
35.0,520,22509.608713
35.0,538,22533.086166
38.0,564,22557.686657
20.0,472,22577.578125
39.0,678,22606.624438
36.0,746,22639.047929
38.0,782,22672.905088
30.0,558,22696.718502
38.0,832,22732.213995
26.0,448,22751.545873
31.0,576,22776.583381
27.0,500,22797.750005
32.0,640,22825.489396
32.0,590,22851.108644
37.0,744,22882.98483
39.0,822,22918.51481
37.0,694,22948.748948
47.0,696,22978.141287
32.0,566,23002.890451
35.0,752,23035.336419
49.0,770,23068.777197
35.0,684,23098.207786
35.0,666,23127.264855
34.0,634,23154.327877
30.0,518,23176.373445
40.0,498,23197.628366
28.0,562,23222.108904
34.0,610,23248.358878
32.0,530,23270.994937
42.0,606,23296.702379
35.0,656,23325.109113
31.0,540,23348.124257
20.0,452,23367.305996
36.0,556,23391.765203
41.0,814,23426.999821
39.0,732,23458.218486
72.0,876,23496.281176
36.0,764,23529.484104
38.0,588,23554.606747
34.0,606,23580.593848
35.0,518,23603.341666
36.0,654,23631.604658
28.0,574,23656.249555
30.0,524,23679.077156
29.0,484,23699.743894
42.0,630,23727.171226
48.0,852,23763.227794
40.0,614,23789.819336
32.0,490,23810.750341
37.0,614,23837.383337
35.0,574,23861.640167
54.0,758,23893.640335
28.0,498,23915.084576
34.0,644,23943.296582
44.0,658,23971.967894
37.0,702,24002.297352
36.0,576,24027.354522
42.0,714,24057.843764
31.0,638,24085.516182
37.0,712,24115.602568
40.0,766,24149.337292
35.0,534,24172.061968
19.0,440,24190.921694
38.0,540,24214.129365
46.0,810,24249.264153
35.0,660,24277.609024
24.0,480,24298.390184
32.0,536,24321.842968
40.0,530,24344.530887
53.0,720,24375.613248
20.0,458,24395.656024
31.0,576,24420.967751
27.0,514,24443.32764
37.0,596,24469.096033
36.0,622,24495.624867
21.0,410,24513.062101
38.0,608,24539.245459
39.0,606,24565.077879
37.0,530,24587.843255
36.0,500,24609.249062
41.0,632,24636.295554
42.0,666,24664.890151
42.0,562,24688.797447
48.0,1012,24732.351227
29.0,452,24751.796972
40.0,564,24775.844003
32.0,590,24800.671686
47.0,676,24829.890802
30.0,478,24850.52593
26.0,496,24871.811702
33.0,476,24892.546896
49.0,1004,24935.687008
23.0,498,24956.895694
49.0,876,24994.72032
54.0,920,25033.84319
31.0,458,25053.875053
69.0,908,25092.327075
40.0,666,25121.262904
26.0,534,25144.421258
29.0,658,25173.077885
48.0,1006,25216.499382
37.0,624,25243.030505
39.0,928,25282.717861
48.0,818,25318.452794
49.0,640,25345.639952
56.0,898,25384.499007
26.0,484,25405.10242
45.0,678,25434.015048
41.0,760,25466.874059
40.0,658,25494.936706
45.0,698,25524.617704
45.0,828,25559.921221
23.0,502,25581.391034
14.0,434,25600.389061
23.0,502,25621.670955
26.0,606,25647.811682
16.0,418,25666.13064
34.0,602,25691.796067
21.0,504,25713.671611
42.0,810,25748.424094
43.0,730,25779.996646
67.0,906,25818.777942
