#{"t_start": 1771908561.682863, "env_id": "ALE/Pacman-v5"}
r,l,t
103.0,810,16648.507805
49.0,662,16663.50479
355.0,926,16684.577883
45.0,712,16700.826007
113.0,914,16721.67573
47.0,630,16736.05173
357.0,826,16754.738981
63.0,850,16773.988712
25.0,456,16784.474394
51.0,670,16799.780884
356.0,818,16818.329776
144.0,751,16835.284593
56.0,512,16847.047956
111.0,750,16864.200756
120.0,778,16881.839333
396.0,1204,16909.327858
68.0,718,16925.556582
29.0,448,16935.864269
29.0,448,16946.026576
43.0,568,16958.928438
41.0,512,16970.546484
68.0,832,16989.424013
204.0,846,17008.844239
45.0,598,17022.604136
365.0,826,17041.459862
129.0,786,17059.422616
49.0,718,17075.781329
189.0,598,17089.500523
104.0,640,17104.089252
128.0,776,17121.658904
214.0,900,17142.136019
85.0,832,17161.048306
108.0,724,17177.474739
198.0,628,17191.742748
36.0,648,17206.395561
99.0,588,17219.886012
42.0,614,17233.698362
97.0,540,17245.896025
198.0,783,17263.764464
118.0,744,17280.649339
193.0,768,17297.932163
57.0,734,17314.522482
46.0,624,17328.833407
206.0,974,17350.804424
34.0,516,17362.472782
41.0,502,17373.979633
49.0,662,17389.090097
108.0,778,17406.642013
34.0,570,17419.610968
50.0,722,17436.079156
178.0,622,17450.185657
122.0,812,17468.47842
90.0,842,17487.776874
115.0,822,17506.573147
26.0,502,17517.943892
35.0,554,17530.476415
211.0,1036,17554.056081
198.0,810,17572.564877
51.0,696,17588.454705
107.0,846,17607.795968
210.0,734,17624.447795
63.0,616,17638.565129
13.0,370,17646.948921
76.0,772,17664.446317
141.0,790,17682.586427
19.0,426,17692.22687
91.0,836,17711.24874
35.0,538,17723.643717
23.0,446,17733.752051
220.0,914,17754.455711
26.0,478,17765.480454
62.0,872,17785.320718
346.0,708,17801.471414
21.0,498,17812.794209
19.0,482,17823.788354
23.0,530,17835.855701
128.0,936,17857.313272
180.0,660,17872.351279
47.0,880,17892.41431
186.0,750,17909.453643
133.0,888,17929.669162
351.0,864,17949.396145
34.0,578,17962.586757
53.0,638,17977.159217
49.0,868,17996.826565
342.0,678,18012.30475
209.0,960,18034.282852
79.0,689,18050.045502
137.0,1028,18073.428941
352.0,690,18089.199856
50.0,730,18105.757124
186.0,758,18123.087005
94.0,1116,18148.46803
44.0,666,18163.733954
38.0,658,18178.714973
75.0,734,18195.309616
174.0,1081,18220.073929
36.0,530,18232.138231
129.0,844,18251.363796
119.0,842,18270.534762
49.0,698,18286.449931
52.0,594,18299.829658
191.0,698,18315.804377
75.0,940,18337.170634
183.0,688,18352.70242
207.0,1042,18376.337938
49.0,678,18391.78056
70.0,586,18405.094812
226.0,725,18421.642367
193.0,620,18435.775522
46.0,592,18449.181469
101.0,824,18467.942038
365.0,882,18488.037443
100.0,1002,18510.806704
86.0,722,18527.323763
173.0,574,18540.285513
119.0,684,18555.981233
193.0,626,18570.300946
180.0,728,18586.866394
47.0,638,18601.473644
135.0,864,18621.114679
209.0,932,18642.387147
178.0,772,18660.112431
19.0,376,18668.66793
149.0,747,18685.743302
184.0,680,18701.301616
57.0,584,18714.530535
69.0,658,18729.705994
358.0,798,18747.87998
83.0,1000,18770.7905
153.0,936,18792.12057
109.0,1294,18821.61206
182.0,628,18835.893269
344.0,728,18852.478518
425.0,948,18874.049918
202.0,962,18895.998072
288.0,1076,18920.417506
71.0,838,18939.78378
223.0,854,18959.134126
194.0,722,18975.52933
185.0,648,18990.37144
80.0,1112,19015.690824
60.0,746,19032.67143
112.0,892,19053.060545
118.0,770,19070.631835
167.0,892,19090.995746
33.0,518,19102.796994
363.0,848,19122.240336
378.0,978,19144.500445
63.0,752,19161.727925
156.0,1048,19185.640811
98.0,616,19199.643991
187.0,828,19218.422774
247.0,834,19237.558347
181.0,830,19256.55014
25.0,480,19267.550934
32.0,454,19277.862198
175.0,852,19297.394792
394.0,1218,19325.117141
54.0,762,19342.529437
351.0,846,19361.882907
120.0,906,19382.436218
213.0,848,19401.779345
52.0,532,19413.700558
102.0,1114,19439.068984
