#{"t_start": 1772087579.0889084, "env_id": "ALE/Pacman-v5"}
r,l,t
22.0,544,3492.226731
19.0,522,3503.881157
18.0,450,3513.8993
29.0,600,3527.394933
13.0,450,3537.445479
13.0,448,3547.46023
11.0,472,3558.131661
28.0,588,3571.241471
15.0,460,3581.523959
11.0,468,3592.069628
19.0,456,3602.276034
15.0,490,3613.257593
33.0,604,3626.977581
16.0,592,3640.319393
15.0,444,3650.399219
15.0,554,3662.834578
13.0,438,3672.645062
16.0,460,3683.06985
25.0,726,3699.356114
17.0,444,3709.421721
30.0,608,3723.103858
18.0,416,3732.492152
17.0,506,3743.863491
13.0,498,3755.087085
19.0,462,3765.594626
13.0,440,3775.621305
24.0,518,3787.328217
16.0,456,3797.657646
18.0,448,3807.91341
12.0,430,3817.727026
19.0,488,3828.788815
26.0,446,3838.948905
22.0,546,3851.388753
12.0,406,3860.694584
29.0,510,3872.211523
22.0,496,3883.493624
18.0,444,3893.600344
17.0,502,3905.069296
13.0,464,3915.631435
16.0,472,3926.487038
17.0,478,3937.366753
16.0,470,3948.152778
16.0,408,3957.515523
22.0,520,3969.275471
10.0,398,3978.350048
17.0,456,3988.680085
18.0,434,3998.58496
13.0,448,4008.840597
16.0,530,4020.866694
13.0,488,4032.008096
9.0,414,4041.961725
13.0,404,4051.288941
16.0,458,4061.718591
17.0,562,4074.479574
20.0,450,4084.754782
15.0,428,4094.5076
29.0,522,4106.364239
15.0,476,4117.273757
20.0,482,4128.210274
26.0,466,4138.775456
20.0,516,4150.600377
24.0,514,4162.324319
23.0,504,4173.787874
14.0,488,4184.929596
16.0,466,4195.553282
14.0,498,4206.912943
18.0,400,4216.036109
17.0,510,4227.617058
24.0,496,4238.991947
19.0,456,4249.362546
18.0,474,4260.148075
18.0,494,4271.537482
22.0,464,4282.054721
16.0,462,4292.569513
15.0,490,4303.679253
19.0,450,4313.882402
26.0,482,4324.944171
19.0,486,4336.054941
11.0,462,4346.632773
18.0,470,4357.257746
11.0,426,4366.960294
14.0,428,4376.704761
11.0,412,4386.070756
19.0,504,4397.648699
18.0,458,4408.033963
15.0,490,4419.155896
14.0,428,4428.914353
15.0,426,4438.63977
16.0,446,4448.834553
20.0,472,4459.663981
17.0,412,4469.013708
15.0,512,4480.6604
19.0,440,4490.677152
18.0,452,4500.975536
13.0,460,4511.375695
11.0,422,4521.071571
16.0,550,4533.554673
33.0,520,4545.320035
16.0,454,4555.648719
24.0,538,4567.851649
13.0,464,4578.414417
13.0,446,4588.583748
16.0,464,4599.179345
17.0,468,4609.838778
20.0,460,4620.319114
18.0,434,4630.147609
14.0,404,4639.411855
22.0,514,4651.152869
13.0,412,4660.482442
21.0,452,4670.680534
18.0,506,4682.179113
19.0,462,4692.663874
15.0,478,4703.523089
25.0,512,4715.220066
20.0,522,4727.085267
23.0,524,4739.017676
14.0,426,4748.664339
15.0,500,4760.039076
15.0,478,4770.971551
14.0,448,4781.14802
13.0,454,4791.455489
24.0,456,4801.830498
14.0,488,4812.897203
17.0,500,4824.256474
21.0,466,4834.928581
19.0,480,4845.867952
16.0,422,4855.476636
19.0,426,4865.223416
17.0,466,4875.819271
17.0,512,4887.481099
14.0,472,4898.257669
23.0,578,4911.405054
17.0,464,4921.928779
20.0,476,4932.820034
19.0,556,4945.404294
16.0,452,4955.74265
20.0,434,4965.598672
19.0,426,4975.288637
19.0,422,4984.850623
24.0,506,4996.363338
25.0,680,5011.759019
14.0,466,5022.382953
17.0,440,5032.423258
14.0,522,5044.274147
20.0,514,5055.992212
14.0,438,5065.961746
12.0,434,5075.792627
15.0,434,5085.711796
20.0,444,5095.772541
21.0,462,5106.305484
15.0,454,5116.648747
16.0,478,5127.507117
20.0,532,5139.490645
20.0,464,5150.101865
16.0,522,5161.913103
21.0,388,5170.699415
18.0,546,5183.164929
17.0,460,5193.632801
30.0,624,5207.835877
33.0,686,5223.44599
17.0,490,5234.657155
14.0,454,5245.006523
12.0,416,5254.506378
12.0,478,5265.477077
13.0,438,5275.481589
17.0,480,5286.398147
15.0,502,5297.843097
17.0,470,5308.608902
18.0,420,5318.097161
40.0,808,5336.550823
17.0,512,5348.335269
13.0,422,5357.883266
14.0,516,5369.649238
20.0,498,5380.973519
19.0,472,5391.725511
16.0,500,5403.179058
19.0,564,5415.971686
21.0,446,5426.077437
16.0,430,5435.835247
15.0,440,5445.852061
14.0,462,5456.324861
16.0,548,5468.857318
16.0,428,5478.566967
20.0,702,5494.517772
16.0,438,5504.489112
15.0,412,5513.803646
17.0,578,5526.931182
53.0,886,5547.097
19.0,432,5556.943289
18.0,442,5567.00439
15.0,440,5577.038371
12.0,452,5587.304317
15.0,464,5597.897259
10.0,634,5612.227021
13.0,430,5622.006962
18.0,466,5632.679581
47.0,624,5646.867116
16.0,442,5656.897413
13.0,424,5666.572162
13.0,464,5677.116714
14.0,426,5686.788941
17.0,496,5698.117053
8.0,366,5706.455824
24.0,488,5717.508096
14.0,494,5728.766547
14.0,460,5739.236374
22.0,426,5748.909552
16.0,462,5759.459514
14.0,514,5771.113992
16.0,618,5785.262626
13.0,538,5797.444405
22.0,656,5812.338092
16.0,420,5821.86659
24.0,466,5832.460396
15.0,526,5844.430591
17.0,456,5854.818912
14.0,464,5865.35088
17.0,494,5876.648093
24.0,562,5889.506635
13.0,486,5900.546992
12.0,454,5910.93013
20.0,622,5925.118202
18.0,518,5936.943134
28.0,498,5948.39838
14.0,492,5959.553357
11.0,444,5969.701498
19.0,480,5980.601041
21.0,596,5994.100164
16.0,496,6005.40797
14.0,430,6015.148602
15.0,460,6025.61637
15.0,484,6036.714132
17.0,522,6048.584822
22.0,498,6059.907234
14.0,464,6070.459977
14.0,466,6081.091897
21.0,484,6092.147237
25.0,532,6104.21058
17.0,474,6114.936097
23.0,474,6125.74529
28.0,540,6138.076997
27.0,762,6155.428815
14.0,420,6164.956784
22.0,456,6175.301984
16.0,496,6186.658493
21.0,698,6202.574194
13.0,516,6214.270267
22.0,478,6225.195871
25.0,534,6237.305675
23.0,548,6249.741886
30.0,746,6266.710041
14.0,472,6277.413481
18.0,520,6289.257579
26.0,510,6300.851127
15.0,482,6311.882859
17.0,444,6321.951292
11.0,408,6331.194949
12.0,438,6341.103775
20.0,444,6351.163783
16.0,408,6360.600309
22.0,618,6375.08585
13.0,432,6384.923142
21.0,510,6396.475174
24.0,742,6413.410648
16.0,418,6422.932403
16.0,446,6433.054957
15.0,480,6444.085378
32.0,706,6460.101678
19.0,488,6471.229042
24.0,518,6483.038318
22.0,470,6493.741842
18.0,522,6505.659581
16.0,428,6515.384066
27.0,610,6529.304704
11.0,452,6539.610822
41.0,613,6553.558763
22.0,460,6564.085029
23.0,442,6574.169877
25.0,640,6588.766398
14.0,382,6597.539365
22.0,496,6608.825205
14.0,510,6620.469351
27.0,514,6632.240802
17.0,490,6643.36672
19.0,558,6656.05318
7.0,330,6663.576913
21.0,534,6675.726139
12.0,434,6685.632658
27.0,500,6697.148475
28.0,620,6711.375741
20.0,554,6724.060329
18.0,442,6734.13909
21.0,522,6745.99645
17.0,446,6756.241953
20.0,560,6768.914219
11.0,412,6778.288367
20.0,502,6789.867447
20.0,512,6801.569525
16.0,500,6812.991918
20.0,554,6825.632105
15.0,524,6837.563774
16.0,490,6848.772224
18.0,646,6863.463982
17.0,532,6875.599314
16.0,436,6885.461564
21.0,454,6895.720146
22.0,494,6907.054488
25.0,452,6917.336169
8.0,484,6928.369867
22.0,486,6939.452676
13.0,492,6950.694611
30.0,710,6966.868015
20.0,440,6976.929855
22.0,516,6988.648139
13.0,468,6999.351251
12.0,462,7009.89212
26.0,480,7020.886688
17.0,538,7033.114492
14.0,482,7044.120338
21.0,464,7054.679919
25.0,742,7071.570151
22.0,532,7083.648449
15.0,570,7096.681384
21.0,478,7107.555371
15.0,570,7120.508036
17.0,482,7131.562299
18.0,482,7142.491029
14.0,546,7154.882841
10.0,522,7166.759033
26.0,636,7181.226603
21.0,536,7193.47522
25.0,620,7207.53851
18.0,460,7217.974778
19.0,544,7230.382341
21.0,474,7241.162887
19.0,506,7252.773619
16.0,522,7264.594411
17.0,610,7278.444213
15.0,580,7291.634168
21.0,550,7304.186324
27.0,564,7317.038882
18.0,610,7330.835147
30.0,836,7349.819793
30.0,756,7367.00054
30.0,704,7383.21108
24.0,594,7396.727595
13.0,390,7405.632536
19.0,518,7417.382124
22.0,482,7428.414691
21.0,528,7440.425351
20.0,466,7451.007054
28.0,550,7463.538614
22.0,566,7476.492904
19.0,498,7487.808131
22.0,528,7499.834394
